,attachments,author_id,conversation_id,created_at,entities,id,in_reply_to_user_id,lang,like_count,possibly_sensitive,quote_count,reply_count,retweet_count,source,text
0,nan,948551073387642880,1371960392927313920,2021-03-16T23:03:42.000Z,"{'cashtags': [{'start': 73, 'end': 77, 'tag': 'RLC'}, {'start': 81, 'end': 86, 'tag': 'AVAX'}, {'start': 90, 'end': 94, 'tag': 'KMD'}, {'start': 98, 'end': 102, 'tag': 'BAT'}, {'start': 106, 'end': 111, 'tag': 'BZRX'}, {'start': 156, 'end': 160, 'tag': 'ACM'}, {'start': 164, 'end': 168, 'tag': 'BQX'}, {'start': 172, 'end': 177, 'tag': 'SAND'}, {'start': 181, 'end': 185, 'tag': 'UNI'}, {'start': 189, 'end': 193, 'tag': 'PSG'}], 'urls': [{'start': 210, 'end': 233, 'url': 'https://t.co/vMSA8RwQ1G', 'expanded_url': 'http://DYOR.net', 'display_url': 'DYOR.net'}], 'hashtags': [{'start': 21, 'end': 25, 'tag': 'BTC'}]}",1371960392927313920,nan,en,1,False,0,0,0,DYORCryptoBot,"[SCAN RESULTS - 1H - #BTC PAIR]

Binance top 5 bullish trend strength
1: $RLC
2: $AVAX
3: $KMD
4: $BAT
5: $BZRX

Binance top 5 bullish reversal strength
1: $ACM
2: $BQX
3: $SAND
4: $UNI
5: $PSG

All results on https://t.co/vMSA8RwQ1G website!"
1,nan,948551073387642880,1371960370311614468,2021-03-16T23:03:36.000Z,"{'cashtags': [{'start': 74, 'end': 79, 'tag': 'HARD'}, {'start': 83, 'end': 87, 'tag': 'ADA'}, {'start': 91, 'end': 95, 'tag': 'MFT'}, {'start': 99, 'end': 104, 'tag': 'LUNA'}, {'start': 159, 'end': 163, 'tag': 'ACM'}, {'start': 167, 'end': 171, 'tag': 'PNT'}, {'start': 175, 'end': 179, 'tag': 'MKR'}, {'start': 183, 'end': 188, 'tag': 'SAND'}, {'start': 192, 'end': 196, 'tag': 'YFI'}], 'hashtags': [{'start': 21, 'end': 26, 'tag': 'USDT'}]}",1371960370311614468,nan,en,3,False,0,0,0,DYORCryptoBot,"[SCAN RESULTS - 1H - #USDT PAIR]

Binance top 5 bullish trend strength
1: $HARD
2: $ADA
3: $MFT
4: $LUNA
5: $1INCH

Binance top 5 bullish reversal strength
1: $ACM
2: $PNT
3: $MKR
4: $SAND
5: $YFI"
2,nan,1356938241597874181,1371565084300906497,2021-03-16T22:53:03.000Z,"{'cashtags': [{'start': 178, 'end': 182, 'tag': 'ost'}, {'start': 183, 'end': 187, 'tag': 'tct'}, {'start': 188, 'end': 193, 'tag': 'crpt'}, {'start': 194, 'end': 198, 'tag': 'mda'}, {'start': 199, 'end': 203, 'tag': 'poa'}, {'start': 204, 'end': 208, 'tag': 'pay'}, {'start': 209, 'end': 214, 'tag': 'appc'}, {'start': 215, 'end': 219, 'tag': 'gto'}, {'start': 220, 'end': 224, 'tag': 'oax'}, {'start': 225, 'end': 231, 'tag': 'gbyte'}, {'start': 232, 'end': 236, 'tag': 'gvt'}, {'start': 237, 'end': 241, 'tag': 'for'}, {'start': 242, 'end': 246, 'tag': 'acm'}, {'start': 247, 'end': 251, 'tag': 'rdn'}, {'start': 252, 'end': 256, 'tag': 'psg'}, {'start': 257, 'end': 262, 'tag': 'mith'}], 'urls': [{'start': 110, 'end': 133, 'url': 'https://t.co/TYpYjYm52s', 'expanded_url': 'http://t.me/Mega_Whale', 'display_url': 't.me/Mega_Whale'}], 'mentions': [{'start': 0, 'end': 12, 'username': 'WSBChairman', 'id': '868578294916145152'}, {'start': 142, 'end': 156, 'username': 'The_MegaWhale', 'id': '1356938241597874181'}]}",1371957712410398727,868578294916145152,en,1,False,0,0,0,Twitter for iPhone,"@WSBChairman Join the Crypto MegaWhale community

This year made + 400% VIP membership 1100% 😱

Free telegram https://t.co/TYpYjYm52s
Contact @The_MegaWhale for VIP memberships

$ost $tct $crpt $mda $poa $pay $appc $gto $oax $gbyte $gvt $for $acm $rdn $psg $mith"
3,nan,948551073387642880,1371945244086968334,2021-03-16T22:03:30.000Z,"{'cashtags': [{'start': 73, 'end': 77, 'tag': 'ZRX'}, {'start': 81, 'end': 85, 'tag': 'SNM'}, {'start': 89, 'end': 94, 'tag': 'APPC'}, {'start': 98, 'end': 102, 'tag': 'BAT'}, {'start': 106, 'end': 111, 'tag': 'CTSI'}, {'start': 156, 'end': 160, 'tag': 'ACM'}, {'start': 164, 'end': 169, 'tag': 'POWR'}, {'start': 173, 'end': 177, 'tag': 'XVG'}, {'start': 181, 'end': 185, 'tag': 'MKR'}, {'start': 189, 'end': 194, 'tag': 'UNFI'}], 'urls': [{'start': 211, 'end': 234, 'url': 'https://t.co/vMSA8RwQ1G', 'expanded_url': 'http://DYOR.net', 'display_url': 'DYOR.net'}], 'hashtags': [{'start': 21, 'end': 25, 'tag': 'BTC'}]}",1371945244086968334,nan,en,3,False,1,0,1,DYORCryptoBot,"[SCAN RESULTS - 1H - #BTC PAIR]

Binance top 5 bullish trend strength
1: $ZRX
2: $SNM
3: $APPC
4: $BAT
5: $CTSI

Binance top 5 bullish reversal strength
1: $ACM
2: $POWR
3: $XVG
4: $MKR
5: $UNFI

All results on https://t.co/vMSA8RwQ1G website!"
4,nan,948551073387642880,1371945241478098954,2021-03-16T22:03:29.000Z,"{'cashtags': [{'start': 74, 'end': 78, 'tag': 'BAT'}, {'start': 92, 'end': 97, 'tag': 'HARD'}, {'start': 101, 'end': 107, 'tag': 'ALPHA'}, {'start': 111, 'end': 115, 'tag': 'MFT'}, {'start': 160, 'end': 164, 'tag': 'ACM'}, {'start': 168, 'end': 172, 'tag': 'FIO'}, {'start': 176, 'end': 180, 'tag': 'MKR'}, {'start': 184, 'end': 188, 'tag': 'YFI'}, {'start': 192, 'end': 196, 'tag': 'DNT'}], 'hashtags': [{'start': 21, 'end': 26, 'tag': 'USDT'}]}",1371945241478098954,nan,en,3,False,0,1,0,DYORCryptoBot,"[SCAN RESULTS - 1H - #USDT PAIR]

Binance top 5 bullish trend strength
1: $BAT
2: $1INCH
3: $HARD
4: $ALPHA
5: $MFT

Binance top 5 bullish reversal strength
1: $ACM
2: $FIO
3: $MKR
4: $YFI
5: $DNT"
5,nan,1141208687001780225,1371930597141184515,2021-03-16T21:05:18.000Z,"{'cashtags': [{'start': 0, 'end': 4, 'tag': 'ACM'}], 'hashtags': [{'start': 93, 'end': 97, 'tag': 'ACM'}, {'start': 98, 'end': 106, 'tag': 'ACMUSDT'}, {'start': 107, 'end': 117, 'tag': 'CryptoBOT'}]}",1371930597141184515,nan,en,0,False,0,0,0,Crypto-Ticker-Bot,"$ACM
✅  Increased 5.18% in 3.9 hour(s)
💵 Price - 12.90600000 USDT
⏱️ [16 Feb] - 21:05:18 UTC
#ACM #ACMUSDT #CryptoBOT"
6,nan,914214567152160768,1371927685459554305,2021-03-16T20:53:44.000Z,"{'cashtags': [{'start': 0, 'end': 4, 'tag': 'ACM'}], 'urls': [{'start': 90, 'end': 113, 'url': 'https://t.co/2JDw3zlIpQ', 'expanded_url': 'http://stockcharts.com/h-sc/ui?s=ACM&p=D&yr=1&mn=0&dy=0&id=p14565816076', 'display_url': 'stockcharts.com/h-sc/ui?s=ACM&…'}]}",1371927685459554305,nan,en,0,False,0,0,0,StockPoster,$ACM AECOM Common Stock Top stock up 163% from low. Close: 61.35 VolvsAvg: 0.84 Liq: $42M https://t.co/2JDw3zlIpQ
7,nan,1141208687001780225,1371872212169453578,2021-03-16T17:13:18.000Z,"{'cashtags': [{'start': 0, 'end': 4, 'tag': 'ACM'}], 'hashtags': [{'start': 93, 'end': 97, 'tag': 'ACM'}, {'start': 98, 'end': 106, 'tag': 'ACMUSDT'}, {'start': 107, 'end': 117, 'tag': 'CryptoBOT'}]}",1371872212169453578,nan,en,0,False,0,0,0,Crypto-Ticker-Bot,"$ACM
⛔️ Decreased 4.16% in 8.2 hour(s)
💵 Price - 12.27400000 USDT
⏱️ [16 Feb] - 17:13:18 UTC
#ACM #ACMUSDT #CryptoBOT"
8,nan,535689101,1371861754083471364,2021-03-16T16:31:44.000Z,"{'cashtags': [{'start': 11, 'end': 15, 'tag': 'ACM'}, {'start': 61, 'end': 65, 'tag': 'ACM'}, {'start': 116, 'end': 120, 'tag': 'CHZ'}], 'hashtags': [{'start': 102, 'end': 106, 'tag': 'CHZ'}, {'start': 107, 'end': 115, 'tag': 'chzpump'}]}",1371861754083471364,nan,en,0,False,0,0,0,Twitter for Android,"Buying  10 $ACM @ 200CHZ each, now
200CHZ is worth $105 and  $ACM i bought is 24CHZ worth $12.7 .... 
#CHZ #chzpump $CHZ"
9,{'media_keys': ['16_1371830636927877121']},700763995494481920,1371830662395691008,2021-03-16T14:28:11.000Z,"{'cashtags': [{'start': 20, 'end': 24, 'tag': 'GME'}, {'start': 46, 'end': 50, 'tag': 'ACM'}], 'urls': [{'start': 96, 'end': 119, 'url': 'https://t.co/wiAVnvTIDc', 'expanded_url': 'https://twitter.com/FamYello/status/1371830662395691008/photo/1', 'display_url': 'pic.twitter.com/wiAVnvTIDc'}], 'hashtags': [{'start': 85, 'end': 95, 'tag': 'ToTheMoon'}]}",1371830662395691008,nan,en,0,False,0,0,0,Twitter for Android,"Sometimes I vow for $GME, sometimes I vow for $ACM...

Are they not the same??
🚀 🚀 🚀
#ToTheMoon https://t.co/wiAVnvTIDc"
