,attachments,author_id,conversation_id,created_at,entities,geo,id,in_reply_to_user_id,lang,like_count,possibly_sensitive,quote_count,reply_count,retweet_count,source,text
0,nan,2697988568,1322677317680959493,2020-11-01T10:31:56.000Z,"{'hashtags': [{'start': 88, 'end': 93, 'tag': 'Defi'}], 'cashtags': [{'start': 40, 'end': 46, 'tag': 'ALPHA'}, {'start': 165, 'end': 170, 'tag': 'BAND'}], 'urls': [{'start': 182, 'end': 205, 'url': 'https://t.co/A5f6RoUs8w', 'expanded_url': 'https://twitter.com/cjliu49/status/1321683206635024384', 'display_url': 'twitter.com/cjliu49/status…'}], 'mentions': [{'start': 0, 'end': 14, 'username': 'CryptoMessiah', 'id': '2728570895'}, {'start': 103, 'end': 119, 'username': 'TheSpartanGroup', 'id': '956841052563910656'}, {'start': 120, 'end': 130, 'username': 'Arthur_0x', 'id': '1357451976'}]}",nan,1322848844812443648,2728570895,en,9,False,0,1,2,Twitter for iPhone,"@CryptoMessiah You wanna have a look at $ALPHA - your premium “shitcoin” backed by your #Defi OG’s aka @TheSpartanGroup @Arthur_0x and others!

5m Marketcap with ex $BAND employees. https://t.co/A5f6RoUs8w"
1,nan,1290211233480577026,1322798934050234368,2020-11-01T09:48:51.000Z,"{'cashtags': [{'start': 45, 'end': 51, 'tag': 'alpha'}], 'mentions': [{'start': 0, 'end': 11, 'username': 'AG36400878', 'id': '1287962231758495745'}, {'start': 12, 'end': 25, 'username': 'BandProtocol', 'id': '993805028182781954'}]}",nan,1322838002263973888,1287962231758495745,en,2,False,0,1,0,Twitter for iPhone,@AG36400878 @BandProtocol Hope you have some $alpha to
2,nan,1290211233480577026,1322834721718505473,2020-11-01T09:35:49.000Z,"{'cashtags': [{'start': 8, 'end': 14, 'tag': 'alpha'}]}",nan,1322834721718505473,nan,en,4,False,0,1,0,Twitter for iPhone,Wall on $alpha /bnb getting destroyed 🚀🚀🚀
3,nan,2697988568,1322819992526618626,2020-11-01T08:37:17.000Z,"{'hashtags': [{'start': 29, 'end': 34, 'tag': 'Defi'}], 'cashtags': [{'start': 20, 'end': 26, 'tag': 'ALPHA'}], 'urls': [{'start': 61, 'end': 84, 'url': 'https://t.co/rP79VTc0Dt', 'expanded_url': 'https://twitter.com/defipulse/status/1322615185421430785', 'display_url': 'twitter.com/defipulse/stat…'}], 'mentions': [{'start': 1, 'end': 11, 'username': 'Arthur_0x', 'id': '1357451976'}, {'start': 44, 'end': 60, 'username': 'AlphaFinanceLab', 'id': '1260105245033558022'}]}",nan,1322819992526618626,nan,en,12,False,0,0,3,Twitter for iPhone,".@Arthur_0x leaking $ALPHA 🤫 #Defi

❓
❓
❓
❓
@AlphaFinanceLab https://t.co/rP79VTc0Dt"
4,{'media_keys': ['16_1322760640402919424']},1290211233480577026,1322760652809670657,2020-11-01T04:41:29.000Z,"{'cashtags': [{'start': 31, 'end': 36, 'tag': 'BAND'}, {'start': 41, 'end': 47, 'tag': 'ALPHA'}], 'urls': [{'start': 53, 'end': 76, 'url': 'https://t.co/APlD9cbaPf', 'expanded_url': 'https://twitter.com/RecardBand/status/1322760652809670657/photo/1', 'display_url': 'pic.twitter.com/APlD9cbaPf'}]}",nan,1322760652809670657,nan,en,3,False,0,0,0,Twitter for iPhone,Someone’s working hard to keep $BAND and $ALPHA down https://t.co/APlD9cbaPf
5,nan,161108398,1322755622421458946,2020-11-01T04:21:30.000Z,"{'hashtags': [{'start': 37, 'end': 45, 'tag': 'Binance'}], 'cashtags': [{'start': 12, 'end': 18, 'tag': 'ALPHA'}, {'start': 22, 'end': 26, 'tag': 'BTC'}]}",nan,1322755622421458946,nan,en,0,False,0,0,0,pumpnotifier,Our eyes on $ALPHA... $BTC market on #Binance. Current Price: Ƀ 0.00000214
6,nan,945347965006249985,1322700192483840002,2020-11-01T00:41:15.000Z,"{'cashtags': [{'start': 17, 'end': 23, 'tag': 'ALPHA'}], 'mentions': [{'start': 0, 'end': 16, 'username': 'AlphaFinanceLab', 'id': '1260105245033558022'}]}",nan,1322700192483840002,1260105245033558022,en,1,False,0,0,0,Twitter for Android,"@AlphaFinanceLab
$ALPHA ready for bounce"
7,nan,1141208687001780225,1322532074427961344,2020-10-31T13:33:12.000Z,"{'hashtags': [{'start': 122, 'end': 129, 'tag': 'Crypto'}, {'start': 130, 'end': 140, 'tag': 'CryptoBot'}, {'start': 141, 'end': 147, 'tag': 'ALPHA'}], 'cashtags': [{'start': 2, 'end': 8, 'tag': 'ALPHA'}]}",nan,1322532074427961344,nan,en,0,False,0,0,0,Crypto-Ticker-Bot,"✅ $ALPHA increased by 3.75% 
 💵 Price - 0.02962000 
 -- Sat Oct 31 2020 13:33:12 GMT+0000 (Coordinated Universal Time) 
 
#Crypto #CryptoBot #ALPHA"
8,nan,1290211233480577026,1322511005654556674,2020-10-31T12:09:29.000Z,"{'cashtags': [{'start': 7, 'end': 13, 'tag': 'ALPHA'}]}",nan,1322511005654556674,nan,en,2,False,0,0,0,Twitter for iPhone,What’s $ALPHA market cap .....that is all
9,nan,1290211233480577026,1322497636864176129,2020-10-31T11:16:22.000Z,"{'cashtags': [{'start': 0, 'end': 6, 'tag': 'alpha'}]}",nan,1322497636864176129,nan,en,4,False,0,0,0,Twitter for iPhone,$alpha about to pump
10,nan,1290211233480577026,1322429093418184704,2020-10-31T06:44:00.000Z,"{'cashtags': [{'start': 34, 'end': 40, 'tag': 'alpha'}], 'annotations': [{'start': 34, 'end': 39, 'probability': 0.3922, 'type': 'Product', 'normalized_text': '$alpha'}]}",nan,1322429093418184704,nan,en,2,False,0,0,0,Twitter for iPhone,I thought surly no one is selling $alpha yet I been selling small amounts and buying extra all day 🍺 and trading don’t mix so only small amounts 10 or so extra a trade
11,nan,1260105245033558022,1322373657260249089,2020-10-31T03:03:43.000Z,"{'cashtags': [{'start': 137, 'end': 143, 'tag': 'ALPHA'}], 'mentions': [{'start': 213, 'end': 226, 'username': 'SnapshotLabs', 'id': '1297470992491540481'}]}",nan,1322373659139305472,1260105245033558022,en,13,False,0,0,0,Twitter Web App,"When: Oct 31 12:00PM UTC-Nov 7 12:00PM UTC

Snapshot time (~Nov 5 12pm UTC)
→ ETH Block number 11197624
→ BSC Block number 1968415

How: $ALPHA balance in BEP20 and ERC20 in your wallet can be used to vote on the @SnapshotLabs links above 

Quorum: 10M ALPHA

Pass: &gt; 50% yes"
12,nan,1260105245033558022,1322373657260249089,2020-10-31T03:03:43.000Z,"{'hashtags': [{'start': 0, 'end': 6, 'tag': 'ALPHA'}, {'start': 85, 'end': 97, 'tag': 'AlphaHomora'}], 'cashtags': [{'start': 99, 'end': 105, 'tag': 'ALPHA'}, {'start': 170, 'end': 176, 'tag': 'ALPHA'}], 'urls': [{'start': 145, 'end': 168, 'url': 'https://t.co/2ypLoWny17', 'expanded_url': 'https://snapshot.page/#/alpha-bsc', 'display_url': 'snapshot.page/#/alpha-bsc', 'status': 200, 'title': 'Snapshot', 'unwound_url': 'https://snapshot.org/'}, {'start': 216, 'end': 239, 'url': 'https://t.co/yy06xw5DB9', 'expanded_url': 'https://snapshot.page/#/alpha-ethereum', 'display_url': 'snapshot.page/#/alpha-ethere…'}]}",nan,1322373657260249089,nan,en,34,False,2,5,10,Twitter Web App,"#ALPHA first governance voting is here to adjust borrow interest rate parameters for #AlphaHomora

$ALPHA holders (BEP20 version) can vote here: https://t.co/2ypLoWny17

$ALPHA holders (ERC20 version) can vote here: https://t.co/yy06xw5DB9

More details 👇"
13,nan,4470873253,1322092492083245056,2020-10-30T22:15:26.000Z,"{'cashtags': [{'start': 75, 'end': 81, 'tag': 'ALPHA'}], 'mentions': [{'start': 87, 'end': 101, 'username': 'f0reverlove05', 'id': '1067566451270139905'}, {'start': 104, 'end': 117, 'username': 'dangyang1999', 'id': '1307910388038529026'}, {'start': 118, 'end': 127, 'username': 'Tenza863', 'id': '1299932274624884736'}]}",nan,1322301108543397888,1290211233480577026,en,2,False,0,0,0,Twitter Web App,"@RecardBand Thanks @RecardBand for sponsoring this giveaway, all the best! $ALPHA 📈🔥🚀

@f0reverlove05  
@dangyang1999
@Tenza863"
14,nan,1141208687001780225,1322280396361502721,2020-10-30T20:53:07.000Z,"{'hashtags': [{'start': 122, 'end': 129, 'tag': 'Crypto'}, {'start': 130, 'end': 140, 'tag': 'CryptoBot'}, {'start': 141, 'end': 147, 'tag': 'ALPHA'}], 'cashtags': [{'start': 2, 'end': 8, 'tag': 'ALPHA'}]}",nan,1322280396361502721,nan,en,0,False,0,0,0,Crypto-Ticker-Bot,"✅ $ALPHA increased by 4.71% 
 💵 Price - 0.02964000 
 -- Fri Oct 30 2020 20:53:07 GMT+0000 (Coordinated Universal Time) 
 
#Crypto #CryptoBot #ALPHA"
15,nan,4570648755,1322279579323682816,2020-10-30T20:49:53.000Z,"{'hashtags': [{'start': 5, 'end': 13, 'tag': 'Bitcoin'}, {'start': 32, 'end': 46, 'tag': 'Christmas2020'}, {'start': 70, 'end': 78, 'tag': 'bitcoin'}, {'start': 111, 'end': 119, 'tag': 'UNISWAP'}, {'start': 120, 'end': 125, 'tag': 'LINK'}, {'start': 175, 'end': 179, 'tag': 'ETH'}, {'start': 186, 'end': 190, 'tag': 'UNI'}, {'start': 203, 'end': 208, 'tag': 'DEFI'}, {'start': 209, 'end': 217, 'tag': 'Airdrop'}], 'cashtags': [{'start': 79, 'end': 83, 'tag': 'YFI'}, {'start': 84, 'end': 88, 'tag': 'BTC'}, {'start': 89, 'end': 94, 'tag': 'YFII'}, {'start': 95, 'end': 99, 'tag': 'UNI'}, {'start': 100, 'end': 104, 'tag': 'ETH'}, {'start': 105, 'end': 110, 'tag': 'DATA'}, {'start': 126, 'end': 130, 'tag': 'FIL'}, {'start': 131, 'end': 135, 'tag': 'UFX'}, {'start': 136, 'end': 140, 'tag': 'BQX'}, {'start': 141, 'end': 145, 'tag': 'BNB'}, {'start': 146, 'end': 150, 'tag': 'ADA'}, {'start': 151, 'end': 156, 'tag': 'DASH'}, {'start': 157, 'end': 161, 'tag': 'XRP'}, {'start': 162, 'end': 167, 'tag': 'LINK'}, {'start': 168, 'end': 174, 'tag': 'alpha'}, {'start': 180, 'end': 185, 'tag': 'CAKE'}, {'start': 191, 'end': 196, 'tag': 'YFIC'}, {'start': 197, 'end': 202, 'tag': 'UNIX'}]}",nan,1322279579323682816,nan,en,2,False,0,0,0,Twitter for Android,"Will #Bitcoin hit 20000$ before #Christmas2020? 

What do you think?

#bitcoin $YFI $BTC $YFII $UNI $ETH $DATA #UNISWAP #LINK $FIL $UFX $BQX $BNB $ADA $DASH $XRP $LINK $alpha #ETH $CAKE #UNI $YFIC $UNIX #DEFI #Airdrop"
16,nan,1318994999770492934,1322176293287460864,2020-10-30T13:59:27.000Z,"{'cashtags': [{'start': 6, 'end': 10, 'tag': 'UTK'}, {'start': 87, 'end': 91, 'tag': 'inj'}, {'start': 92, 'end': 96, 'tag': 'ftm'}, {'start': 97, 'end': 102, 'tag': 'wbtc'}, {'start': 103, 'end': 108, 'tag': 'link'}, {'start': 109, 'end': 113, 'tag': 'xtz'}, {'start': 114, 'end': 118, 'tag': 'yfi'}, {'start': 119, 'end': 123, 'tag': 'ada'}, {'start': 124, 'end': 128, 'tag': 'trb'}, {'start': 129, 'end': 133, 'tag': 'srm'}, {'start': 134, 'end': 138, 'tag': 'dia'}, {'start': 139, 'end': 143, 'tag': 'dot'}, {'start': 144, 'end': 148, 'tag': 'bnb'}, {'start': 149, 'end': 153, 'tag': 'bch'}, {'start': 154, 'end': 158, 'tag': 'ftm'}, {'start': 159, 'end': 165, 'tag': 'cream'}, {'start': 166, 'end': 171, 'tag': 'algo'}, {'start': 172, 'end': 176, 'tag': 'sxp'}, {'start': 177, 'end': 182, 'tag': 'usdt'}, {'start': 183, 'end': 189, 'tag': 'sushi'}, {'start': 190, 'end': 196, 'tag': 'alpha'}, {'start': 197, 'end': 201, 'tag': 'btc'}, {'start': 202, 'end': 206, 'tag': 'xrp'}, {'start': 207, 'end': 212, 'tag': 'yfii'}, {'start': 213, 'end': 217, 'tag': 'dos'}, {'start': 218, 'end': 222, 'tag': 'snx'}, {'start': 223, 'end': 229, 'tag': 'audio'}, {'start': 230, 'end': 234, 'tag': 'uma'}, {'start': 235, 'end': 239, 'tag': 'eth'}, {'start': 240, 'end': 245, 'tag': 'sand'}, {'start': 246, 'end': 250, 'tag': 'fun'}, {'start': 251, 'end': 255, 'tag': 'bch'}, {'start': 256, 'end': 261, 'tag': 'tomo'}, {'start': 262, 'end': 267, 'tag': 'bzrx'}, {'start': 268, 'end': 272, 'tag': 'btc'}, {'start': 273, 'end': 277, 'tag': 'eth'}], 'urls': [{'start': 278, 'end': 301, 'url': 'https://t.co/OOL5UJkLZW', 'expanded_url': 'https://twitter.com/Ethelja67618962/status/1322160679097348096', 'display_url': 'twitter.com/Ethelja6761896…'}]}",nan,1322176293287460864,nan,en,6,False,0,0,0,Twitter Web App,"Agree $UTK 10x likely but 20x is very possible..

App, staking and Visa imminent! ✔️🚀

$inj $ftm $wbtc $link $xtz $yfi $ada $trb $srm $dia $dot $bnb $bch $ftm $cream $algo $sxp $usdt $sushi $alpha $btc $xrp $yfii $dos $snx $audio $uma $eth $sand $fun
$bch $tomo $bzrx $btc $eth https://t.co/OOL5UJkLZW"
17,nan,1141208687001780225,1322159587802402817,2020-10-30T12:53:04.000Z,"{'hashtags': [{'start': 122, 'end': 129, 'tag': 'Crypto'}, {'start': 130, 'end': 140, 'tag': 'CryptoBot'}, {'start': 141, 'end': 147, 'tag': 'ALPHA'}], 'cashtags': [{'start': 2, 'end': 8, 'tag': 'ALPHA'}]}",nan,1322159587802402817,nan,en,0,False,0,0,0,Crypto-Ticker-Bot,"✅ $ALPHA increased by 3.60% 
 💵 Price - 0.02847000 
 -- Fri Oct 30 2020 12:53:04 GMT+0000 (Coordinated Universal Time) 
 
#Crypto #CryptoBot #ALPHA"
18,nan,901553830290231297,1322139920975175680,2020-10-30T11:42:41.000Z,"{'cashtags': [{'start': 22, 'end': 28, 'tag': 'ALPHA'}], 'mentions': [{'start': 0, 'end': 13, 'username': 'iwearahoodie', 'id': '4096918094'}, {'start': 14, 'end': 21, 'username': 'hasufl', 'id': '566534886'}]}",nan,1322141875529228290,4096918094,en,1,False,0,0,0,Twitter for iPhone,@iwearahoodie @hasufl $ALPHA is another one and they leveraged 2.5x farm &amp; dump Uni
19,nan,323679651,1322092492083245056,2020-10-30T11:36:00.000Z,"{'cashtags': [{'start': 88, 'end': 94, 'tag': 'ALPHA'}], 'mentions': [{'start': 59, 'end': 72, 'username': 'Fariidhassan', 'id': '1138647199116480513'}, {'start': 73, 'end': 85, 'username': 'panda_mandu', 'id': '1248517533663019009'}]}",nan,1322140192573042688,1290211233480577026,en,3,False,0,0,0,Twitter for Android,"@RecardBand Thank you and Good luck everyone🙏

@khenxXx007 @Fariidhassan @panda_mandu 

$ALPHA"
20,nan,1141208687001780225,1322134422280425473,2020-10-30T11:13:04.000Z,"{'hashtags': [{'start': 123, 'end': 130, 'tag': 'Crypto'}, {'start': 131, 'end': 141, 'tag': 'CryptoBot'}, {'start': 142, 'end': 152, 'tag': 'ALPHAUSDT'}, {'start': 153, 'end': 159, 'tag': 'ALPHA'}], 'cashtags': [{'start': 2, 'end': 8, 'tag': 'ALPHA'}]}",nan,1322134422280425473,nan,en,0,False,0,0,0,Crypto-Ticker-Bot,"⛔ $ALPHA decreased by -4.56% 
 💵 Price - 0.02747000 
 -- Fri Oct 30 2020 11:13:04 GMT+0000 (Coordinated Universal Time) 
 
#Crypto #CryptoBot #ALPHAUSDT #ALPHA"
21,nan,1085939317313286144,1322130136863485953,2020-10-30T10:56:03.000Z,"{'hashtags': [{'start': 30, 'end': 38, 'tag': 'Binance'}], 'cashtags': [{'start': 15, 'end': 21, 'tag': 'ALPHA'}]}",nan,1322130136863485953,nan,en,0,False,0,0,0,Oxy Signals,"📡 🤬 Signal for $ALPHA/USDT on #Binance
Sell volume increased by 70,360.37 USDT
-10.11% price decreased(0.02744000  USDT)
Last 1h: bought 15,691.39 USDT, sold 73,146.80 USDT
Last 24h: bought 346,820.88 USDT, sold 379,269.22 USDT
Last 7d: bought 2,656,538.15 USDT, sold 3,015,"
22,{'media_keys': ['3_1322109609188880384']},1069279829097275392,1322092492083245056,2020-10-30T09:34:29.000Z,"{'cashtags': [{'start': 57, 'end': 63, 'tag': 'ALPHA'}], 'urls': [{'start': 80, 'end': 103, 'url': 'https://t.co/oGJiN422Vs', 'expanded_url': 'https://twitter.com/elleghie16/status/1322109612493959168/photo/1', 'display_url': 'pic.twitter.com/oGJiN422Vs'}], 'mentions': [{'start': 45, 'end': 55, 'username': 'heideabot', 'id': '17904164'}]}",nan,1322109612493959168,1290211233480577026,en,0,False,0,0,0,Twitter for Android,"@RecardBand @RiegoAkoNaman19 
@how2riegoka_ 
@heideabot 
$ALPHA 🚀🚀🚀
Goodluck😇❤🍀 https://t.co/oGJiN422Vs"
23,nan,1069279829097275392,1322109273191505921,2020-10-30T09:33:08.000Z,"{'cashtags': [{'start': 49, 'end': 55, 'tag': 'ALPHA'}], 'urls': [{'start': 100, 'end': 123, 'url': 'https://t.co/mzK8tRXoT6', 'expanded_url': 'https://twitter.com/alphal0v3/status/1322092492083245056', 'display_url': 'twitter.com/alphal0v3/stat…'}], 'mentions': [{'start': 89, 'end': 99, 'username': 'heideabot', 'id': '17904164'}]}",nan,1322109273191505921,nan,en,0,False,0,0,0,Twitter for Android,"thanks for this opportunity😇❤🍀 Guys join here💛💜💙
$ALPHA
@RiegoAkoNaman19 
@how2riegoka_ 
@heideabot https://t.co/mzK8tRXoT6"
24,nan,1141208687001780225,1322104219466375170,2020-10-30T09:13:04.000Z,"{'hashtags': [{'start': 123, 'end': 130, 'tag': 'Crypto'}, {'start': 131, 'end': 141, 'tag': 'CryptoBot'}, {'start': 142, 'end': 152, 'tag': 'ALPHAUSDT'}, {'start': 153, 'end': 159, 'tag': 'ALPHA'}], 'cashtags': [{'start': 2, 'end': 8, 'tag': 'ALPHA'}]}",nan,1322104219466375170,nan,en,0,False,0,0,0,Crypto-Ticker-Bot,"⛔ $ALPHA decreased by -5.35% 
 💵 Price - 0.02878000 
 -- Fri Oct 30 2020 09:13:03 GMT+0000 (Coordinated Universal Time) 
 
#Crypto #CryptoBot #ALPHAUSDT #ALPHA"
